Polarity,Tweet
neutral,"RT @MMHemlock: Leonardo Sperduti @spe1977 wrote: #FedericoCaffè su #Germania, #SME e #cambiofisso. Ancora attualissimo."" https://t.co/jhzM7…"
neutral,- Me Fala um filme bom ?
neutral,@Leonardo_ATM @Vityynn Realmente
neutral,RT @TheAgeOfOcean: Leonardo Da Vinci’s “The Last Supper” c. 1490 https://t.co/YIoL5Z0zWB
neutral,@Vityynn @Leonardo_ATM Isso é certeza
neutral,"If you're looking for work in #FortBragg, NC, check out this #job: https://t.co/yg4mL4GonE #IT #Hiring #CareerArc"
neutral,RT @TheAgeOfOcean: Leonardo Da Vinci’s “The Last Supper” c. 1490 https://t.co/YIoL5Z0zWB
negative,"RT @kelechnekoff: “Hahaha! That’s his girl but I used to fuck her”

Ok. Well done. Clap for yourself. 

Romeo of Juliet. Leonardo of Dicapr…"
neutral,@Leonardo_ATM Obrigado Léo
neutral,@GabrielSNepo modinha
neutral,"RT @TodoRiver28: FELIZ CUMPLEAÑOS LEONARDO ""NEGRO"" ASTRADA. 

Uno de los jugadores más campeones de la historia del Millonario. 

Jugó en R…"
negative,"RT @kelechnekoff: “Hahaha! That’s his girl but I used to fuck her”

Ok. Well done. Clap for yourself. 

Romeo of Juliet. Leonardo of Dicapr…"
neutral,"THE DOG POOING CONTEST. FART ATTAINS IN YOUR HEAD. CHEF THROWS DREW BREES AM ILL-MANNERED. POTATO? TO JT, CAN BUILD… https://t.co/muEHqbRu8y"
neutral,@leperledi1pirla Grazie Leonardo.
neutral,"Descobri como desativar as notificações de direto, finalmente paz"
